"","date","City","ntrips","per_subscriber","per_male","median_age","weekends","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"118",2017-02-09,"Boston",84,0.988095238095238,0.714285714285714,30,0,21.03,1.25,10.9,NA,32,39,11
"119",2017-02-09,"Chicago",4127,0.985219287618124,0.811000726920281,36,0,11.63,0,0,0,19,25,13
"120",2017-02-10,"Boston",143,0.993006993006993,0.825174825174825,30,0,12.97,0,0,NA,17,25,11
"121",2017-02-10,"Chicago",4722,0.97988140618382,0.799237611181703,35,0,13.65,0,0,0,26,41,18
"122",2017-02-10,"NY",1997,0.986980470706059,0.812218327491237,36,0,8.5,0,0,7.9,NA,32,19
"123",2017-02-11,"Boston",188,0.968085106382979,0.808510638297872,28,1,8.95,0.21,3.2,NA,21,30,15
"124",2017-02-11,"Chicago",4023,0.817300521998509,0.603281133482476,32,1,6.71,0,0,0,41,49,34
"125",2017-02-11,"NY",8959,0.95791941064851,0.725973881013506,35,1,4.03,0,0,5.1,NA,48,30
"126",2017-02-12,"Boston",63,0.936507936507937,0.777777777777778,27,1,14.54,0.77,1.5,NA,25,35,19
"127",2017-02-12,"Chicago",3325,0.806015037593985,0.591278195488722,32,1,15.88,0,0,0,39,47,31
"128",2017-02-12,"NY",5801,0.98448543354594,0.781589381141183,35,1,7.16,0.46,0,2,NA,40,30
"129",2017-02-13,"Boston",38,1,0.973684210526316,27,0,19.91,0.09,2.2,NA,30,34,24
"130",2017-02-13,"Chicago",6095,0.965053322395406,0.756193601312551,35,0,10.29,0,0,0,35,44,25
"131",2017-02-13,"NY",23857,0.991029886406505,0.789076581296894,37,0,12.3,0.02,0,2,NA,39,31
"132",2017-02-14,"Boston",530,0.975471698113208,0.752830188679245,30,0,9.62,0,0,NA,27,34,22
"133",2017-02-14,"Chicago",6740,0.952225519287834,0.755192878338279,35,0,14.09,0,0,0,40,50,31
"134",2017-02-14,"NY",29668,0.986719697991101,0.770897937171363,38,0,5.37,0,0,2,NA,41,28
"135",2017-02-15,"Boston",591,0.984771573604061,0.785109983079526,31,0,6.93,0.22,0.1,NA,32,40,27
"136",2017-02-15,"Chicago",5527,0.977383752487787,0.779084494300706,35,0,11.18,0,0,0,33,35,26
"137",2017-02-15,"NY",32052,0.981155622114065,0.764975664545114,38,0,6.49,0,0,0,NA,47,35
"138",2017-02-16,"Boston",607,0.99505766062603,0.823723228995058,30,0,16.33,0.07,1.6,NA,33,35,27
"139",2017-02-16,"Chicago",5582,0.981010390541025,0.785560730920817,35,0,8.95,0,0,0,33,41,30
"140",2017-02-16,"NY",29120,0.987774725274725,0.772973901098901,38,0,10.51,0,0,0,NA,35,28
"141",2017-02-17,"Boston",673,0.973254086181278,0.794947994056464,30,0,13.87,0,0,NA,30,41,23
"142",2017-02-17,"Chicago",9042,0.851360318513603,0.658482636584826,34,0,8.05,0,0,0,43,67,27
"143",2017-02-17,"NY",28735,0.975256655646424,0.764572820602053,38,0,8.5,0,0,0,NA,41,26
"144",2017-02-18,"Boston",497,0.905432595573441,0.672032193158954,28,1,13.65,0,0,NA,36,49,26
"145",2017-02-18,"Chicago",13481,0.502633335805949,0.339069801943476,31,1,6.93,0,0,0,58,70,40
"146",2017-02-18,"NY",30571,0.821333943933793,0.606260835432272,35,1,5.82,0,0,0,NA,63,35
"147",2017-02-19,"Boston",613,0.786296900489396,0.605220228384992,28,1,10.74,0,0,NA,49,59,39
"148",2017-02-19,"Chicago",11604,0.480782488796967,0.322647362978283,31,1,3.8,0,0,0,51,69,35
"149",2017-02-19,"NY",36963,0.724670616562508,0.531964396829262,34,1,5.59,0,0,0,NA,65,53
"150",2017-02-20,"Boston",635,0.918110236220472,0.732283464566929,28,0,11.18,0,0,NA,44,48,33
"151",2017-02-20,"Chicago",9763,0.744136023763188,0.55382566833965,33,0,12.3,0,0,0,53,70,41
"152",2017-02-20,"NY",32292,0.851201535984145,0.634615384615385,35,0,7.38,0,0,0,NA,55,39
"153",2017-02-21,"Boston",784,0.971938775510204,0.743622448979592,30,0,9.17,0,0,NA,35,40,30
"154",2017-02-21,"Chicago",8267,0.924156284020806,0.719729043183743,34,0,6.49,0.04,0,0,60,66,49
"155",2017-02-21,"NY",32643,0.957173053947247,0.743651012468217,37,0,5.82,0,0,0,NA,47,34
"156",2017-02-22,"Boston",983,0.933875890132248,0.748728382502543,30,0,8.05,0,0,NA,43,56,38
"157",2017-02-22,"Chicago",10448,0.863705972434916,0.664624808575804,34,0,11.86,0,0,0,58,68,50
"158",2017-02-22,"NY",38119,0.965083029460374,0.743539966945618,37,0,2.91,0,0,0,NA,57,42
"159",2017-02-23,"Boston",1094,0.929616087751371,0.716636197440585,30,0,12.3,0,0,NA,49,68,39
"160",2017-02-23,"Chicago",5926,0.951231859601755,0.762065474181573,35,0,12.53,0.21,0,0,52,59,38
"161",2017-02-23,"NY",42434,0.937408681717491,0.718504029787435,37,0,3.58,0,0,0,NA,65,44
"162",2017-02-24,"Boston",1143,0.909886264216973,0.696412948381452,30,0,11.86,0,0,NA,57,73,46
"163",2017-02-24,"Chicago",5099,0.959011570896254,0.782114140027456,35,0,12.53,0.15,0,0,39,40,33
"164",2017-02-24,"NY",47031,0.906061959133338,0.693861495609279,36,0,6.04,0,0,0,NA,70,58
"165",2017-02-25,"Boston",909,0.721672167216722,0.523652365236524,28,1,10.96,0.1,0,NA,57,69,49
"166",2017-02-25,"Chicago",1944,0.932098765432099,0.712962962962963,31,1,13.87,0,0,0,29,33,23
"167",2017-02-25,"NY",33343,0.840356296673964,0.611612632336622,34,1,6.71,0.54,0,0,NA,63,44
"168",2017-02-26,"Boston",596,0.906040268456376,0.657718120805369,28,1,17.45,0,0,NA,44,49,32
"169",2017-02-26,"Chicago",3223,0.84920881166615,0.641638225255973,31,1,13.87,0,0,0,32,49,21
"170",2017-02-26,"NY",24714,0.892571012381646,0.656065388039168,34,1,8.95,0,0,0,NA,44,36
"171",2017-02-27,"Boston",957,0.964472309299895,0.779519331243469,30,0,16.78,0,0,NA,40,55,30
"172",2017-02-27,"Chicago",7187,0.955336023375539,0.747738973145958,34,0,7.38,0,0,0,41,54,27
"173",2017-02-27,"NY",35984,0.963956202756781,0.740329035126723,37,0,5.59,0,0,0,NA,54,35
"174",2017-02-28,"Boston",1126,0.959147424511545,0.758436944937833,30,0,7.61,0,0,NA,44,51,39
"175",2017-02-28,"Chicago",5813,0.964390159986238,0.765697574402202,35,0,13.65,0.65,0,0,51,60,47
"176",2017-02-28,"NY",41835,0.960846181427035,0.737731564479503,37,0,4.03,0,0,0,NA,59,47
"177",2017-03-01,"Boston",1164,0.950171821305842,0.731958762886598,30,0,14.54,0.02,0,NA,53,63,48
"178",2017-03-01,"Chicago",4456,0.983617594254937,0.80475763016158,35,0,14.09,0.12,0,0,47,54,32
"179",2017-03-01,"NY",40592,0.969994087504927,0.74216594402838,37,0,6.04,0.12,0,0,NA,70,54
"180",2017-03-02,"Boston",1043,0.963566634707574,0.757430488974113,31,0,21.92,0,0,NA,50,58,31
"181",2017-03-02,"Chicago",5258,0.980791175351845,0.787371624191708,35,0,10.96,0,0,0,32,35,27
"182",2017-03-02,"NY",35739,0.965639777274126,0.752958952404936,37,0,11.41,0,0,0,NA,64,35
"183",2017-03-03,"Boston",897,0.955406911928651,0.78149386845039,31,0,14.54,0,0.1,NA,31,36,20
"184",2017-03-03,"Chicago",5156,0.961210240496509,0.776570985259891,35,0,10.29,0,0,0,27,33,21
"185",2017-03-03,"NY",31105,0.966404115094036,0.752933611959492,38,0,8.28,0,0,0,NA,39,24
"186",2017-03-04,"Boston",337,0.937685459940653,0.753709198813056,27,1,19.46,0,0,NA,20,21,10
"187",2017-03-04,"Chicago",3141,0.868513212352754,0.654568608723337,32,1,14.54,0.01,0.1,0,33,42,28
"188",2017-03-04,"NY",15646,0.955451872683114,0.716221398440496,35,1,8.95,0,0,0,NA,30,17
"189",2017-03-05,"Boston",389,0.961439588688946,0.768637532133676,27,1,17.67,0,0,NA,18,32,9
