School,ZipCode,Cities,StartingYear,Type,White ,NonWhite,Lunch,Math ,Reading ,Science ,Graduation,Students,Teachers,Bachelors,Masters,Doctoral,Advanced
Roseville Area Senior High,55113,,9,Public,47.2,52.8,40.7,41.2,55.1,55.6,92,"2,226",105,27.7,64.5,3,67.5
Royalton High School,56373,,9,Public,95.6,4.4,27.8,59,50,65.9,95.1,268,17,68.1,31,0,31
Rtr High School,56178,,9,Public,94,6,31.1,39.4,61.9,57.6,90.2,155,13,86.8,13.2,0,13.2
Rushford-Peterson Senior High,55971,,9,Public,93.9,6.1,27.8,61,58.8,56.9,97.9,218,15,47.7,52.3,0,52.3
Sartell Senior High,56377,,9,Public,93.2,6.8,12.6,66.9,66.9,75.5,98.7,"1,143",71,62.4,37.6,0,37.6
Sauk Rapids-Rice Senior High,56379,,9,Public,86.5,13.5,27.4,53.2,57.4,68.9,93.4,"1,301",72,36.4,63.6,0,63.6
Shakopee Senior Alternative Learning Center,55379,,9,Alternative ,39.5,60.5,55.8,6.5,22.7,,39.1,90,5,17.2,82.8,0,82.8
Simley Senior High,55076,,9,Public,61.3,38.7,35.1,41.8,61.3,63.8,93.9,"1,137",58,25.2,71.4,0,71.4
South Senior High,55407,,9,Public,32.6,67.4,55.4,,14.3,,77.6,"1,847",106,44.4,52,0.9,52.9
Southland Senior High,55909,,9,Public,95.5,4.5,14,30.4,38.2,44.2,91.3,185,17,84.9,10.6,0,10.6
Southwest Senior High,55410,,9,Public,54.6,45.4,39.4,33.3,64.5,,89.6,"1,757",92,31.4,65.3,0,65.3
Spring Lake Park Senior High,55432,,9,Public,58.2,41.8,38.5,49.4,53.1,49,82.3,"1,574",76,44.8,55.2,0,55.2
St. Anthony Village Senior High,55418,,9,Public,68.8,31.2,21.8,61.7,72.5,78.8,91.5,690,34,30.5,64.5,5.1,69.6
St. Francis High,55070,,9,Public,89.7,10.3,22.1,44.9,53.8,63,94.1,"1,444",56,20.9,77.7,0,77.7
St. Louis Park Senior High,55426,,9,Public,55.1,44.9,32.3,47.3,52.6,36.6,90.4,"1,426",71,35.4,64.6,0,64.6
St. Michael-Albertville Senior High,55376,,9,Public,89.6,10.4,11.2,65.7,69.9,74.5,98,"1,782",81,37.2,62.8,0,62.8
St. Peter Senior High,56082,,9,Public,74.9,25.1,36.7,58.8,73.1,68.8,94.1,550,32,34.4,64.1,0,64.1
Stewartville Senior High,55976,,9,Public,92.3,7.7,20.7,69,66.9,66.4,91.3,553,33,48.2,51.5,0,51.5
Tartan Senior High,55128,,9,Public,47.3,52.7,48.6,60.3,64.9,62.9,85.8,"1,603",81,23.8,75,1.2,76.2
Technical Senior High,56301,,9,Public,50.3,49.7,53.7,36.6,50,48.1,85.5,"1,427",70,48,52,0,52
The Alternative Program (Tap),55446,,9,Alternative ,45.6,54.4,55.3,,,,,106,5,30.2,69.8,0,69.8
Tri-City United High School,56069,,9,Public,82.7,17.3,31.7,28.6,50.8,52,94.8,550,32,76.3,23.7,0,23.7
Triton High School,55927,,9,Public,79.3,20.7,29.3,38.8,61.1,60.6,93.5,335,23,81.8,17.9,0,17.9
